lamaLatihan;jumlahPrestasi;waktuGayaBebas;gayaDikuasai;jarakLatihan;kelas
> 1 tahun;> 5;< 1 menit;3-4';Memanjang;Prestasi
> 1 tahun;> 5;< 1 menit;3-4';Memanjang;Prestasi
> 1 tahun;0;< 1 menit;3-4';Memendek;Semi Prestasi
> 1 tahun;1 – 5;< 1 menit;3-4';Memanjang;Prestasi
4 bulan – 1 tahun;0;< 1 menit;3-4';Memanjang;Prestasi
4 bulan – 1 tahun;1 – 5;>1 menit;3-4';Memendek;Semi Prestasi
> 1 tahun;0;< 1 menit;3-4';Memanjang;Prestasi
0 – 4 bulan;0;0 (kosong);0;0 (kosong);Pemula
4 bulan – 1 tahun;0;>1 menit;1-2';Memendek;Semi Prestasi
0 – 4 bulan;0;0 (kosong);0;0 (kosong);Pemula
> 1 tahun;> 5;< 1 menit;3-4';Memanjang;Prestasi
> 1 tahun;> 5;< 1 menit;3-4';Memanjang;Prestasi
> 1 tahun;> 5;< 1 menit;3-4';Memanjang;Prestasi
> 1 tahun;0;>1 menit;3-4';Memendek;Semi Prestasi
4 bulan – 1 tahun;0;>1 menit;3-4';Memendek;Semi Prestasi
0 – 4 bulan;0;0 (kosong);1-2';0 (kosong);Pemula
4 bulan – 1 tahun;0;0 (kosong);1-2';Memendek;Semi Prestasi
> 1 tahun;1 – 5;< 1 menit;3-4';Memanjang;Prestasi
> 1 tahun;1 – 5;< 1 menit;3-4';Memanjang;Prestasi
0 – 4 bulan;0;0 (kosong);0;0 (kosong);Pemula
4 bulan – 1 tahun;0;< 1 menit;3-4';Memanjang;Prestasi
> 1 tahun;1 – 5;< 1 menit;3-4';Memanjang;Prestasi
> 1 tahun;0;>1 menit;3-4';Memendek;Semi Prestasi
0 – 4 bulan;0;0 (kosong);0;0 (kosong);Pemula
0 – 4 bulan;0;0 (kosong);0;0 (kosong);Pemula
> 1 tahun;> 5;< 1 menit;3-4';Memanjang;Prestasi
> 1 tahun;> 5;< 1 menit;3-4';Memanjang;Prestasi
> 1 tahun;1 – 5;>1 menit;3-4';Memanjang;Prestasi
> 1 tahun;> 5;< 1 menit;3-4';Memanjang;Prestasi
0 – 4 bulan;1 – 5;0 (kosong);0;Memendek;Pemula
> 1 tahun;1 – 5;< 1 menit;3-4';Memanjang;Prestasi
0 – 4 bulan;1 – 5;>1 menit;3-4';Memendek;Semi Prestasi
> 1 tahun;0;>1 menit;3-4';Memanjang;Semi Prestasi
0 – 4 bulan;0;0 (kosong);1-2';Memendek;Pemula
4 bulan – 1 tahun;0;< 1 menit;3-4';Memanjang;Semi Prestasi
0 – 4 bulan;0;0 (kosong);1-2';Memendek;Pemula
> 1 tahun;0;>1 menit;3-4';Memendek;Semi Prestasi
> 1 tahun;1 – 5;< 1 menit;3-4';Memanjang;Prestasi
4 bulan – 1 tahun;0;0 (kosong);1-2';Memendek;Semi Prestasi
> 1 tahun;0;>1 menit;3-4';Memendek;Semi Prestasi
0 – 4 bulan;0;0 (kosong);0;Memendek;Pemula
0 – 4 bulan;0;0 (kosong);1-2';Memendek;Pemula
0 – 4 bulan;0;0 (kosong);0;Memendek;Pemula
4 bulan – 1 tahun;0;0 (kosong);1-2';Memendek;Pemula
0 – 4 bulan;0;0 (kosong);0;0 (kosong);Pemula
> 1 tahun;1 – 5;< 1 menit;3-4';Memanjang;Prestasi
4 bulan – 1 tahun;0;< 1 menit;1-2';Memendek;Semi Prestasi
> 1 tahun;1 – 5;< 1 menit;3-4';Memanjang;Prestasi
0 – 4 bulan;0;0 (kosong);0;0 (kosong);Pemula
0 – 4 bulan;0;0 (kosong);0;Memendek;Pemula
4 bulan – 1 tahun;0;0 (kosong);1-2';Memendek;Semi Prestasi
> 1 tahun;> 5;< 1 menit;3-4';Memanjang;Prestasi
> 1 tahun;1 – 5;< 1 menit;3-4';Memanjang;Prestasi
> 1 tahun;0;< 1 menit;3-4';Memanjang;Prestasi
> 1 tahun;1 – 5;< 1 menit;3-4';Memanjang;Prestasi
4 bulan – 1 tahun;0;>1 menit;3-4';Memendek;Semi Prestasi
0 – 4 bulan;0;0 (kosong);0;0 (kosong);Pemula
0 – 4 bulan;0;0 (kosong);0;0 (kosong);Pemula
> 1 tahun;> 5;< 1 menit;3-4';Memanjang;Prestasi
> 1 tahun;> 5;>1 menit;3-4';Memanjang;Prestasi
> 1 tahun;> 5;< 1 menit;3-4';Memanjang;Prestasi
> 1 tahun;1 – 5;< 1 menit;3-4';Memanjang;Prestasi
> 1 tahun;0;< 1 menit;3-4';Memanjang;Prestasi
4 bulan – 1 tahun;0;< 1 menit;3-4';Memendek;Semi Prestasi
