lamaLatihan;jumlahPrestasi;waktuGayaBebas;gayaDikuasai;jarakLatihan;kelas
> 1 tahun;> 5;< 1 menit;03-Apr;Memanjang;Prestasi
> 1 tahun;> 5;< 1 menit;03-Apr;Memanjang;Prestasi
> 1 tahun;0;< 1 menit;03-Apr;Memendek;Semi Prestasi
> 1 tahun;1 – 5;< 1 menit;03-Apr;Memanjang;Prestasi
4 bulan – 1 tahun;0;< 1 menit;03-Apr;Memanjang;Prestasi
4 bulan – 1 tahun;1 – 5;>1 menit;03-Apr;Memendek;Semi Prestasi
> 1 tahun;0;< 1 menit;03-Apr;Memanjang;Prestasi
0 – 4 bulan;0;0 (kosong);0;0 (kosong);Pemula
4 bulan – 1 tahun;0;>1 menit;01-Feb;Memendek;Semi Prestasi
0 – 4 bulan;0;0 (kosong);0;0 (kosong);Pemula
> 1 tahun;> 5;< 1 menit;03-Apr;Memanjang;Prestasi
> 1 tahun;> 5;< 1 menit;03-Apr;Memanjang;Prestasi
> 1 tahun;> 5;< 1 menit;03-Apr;Memanjang;Prestasi
> 1 tahun;0;>1 menit;03-Apr;Memendek;Semi Prestasi
4 bulan – 1 tahun;0;>1 menit;03-Apr;Memendek;Semi Prestasi
0 – 4 bulan;0;0 (kosong);01-Feb;0 (kosong);Pemula
4 bulan – 1 tahun;0;0 (kosong);01-Feb;Memendek;Semi Prestasi
> 1 tahun;1 – 5;< 1 menit;03-Apr;Memanjang;Prestasi
> 1 tahun;1 – 5;< 1 menit;03-Apr;Memanjang;Prestasi
0 – 4 bulan;0;0 (kosong);0;0 (kosong);Pemula
4 bulan – 1 tahun;0;< 1 menit;03-Apr;Memanjang;Prestasi
> 1 tahun;1 – 5;< 1 menit;03-Apr;Memanjang;Prestasi
> 1 tahun;0;>1 menit;03-Apr;Memendek;Semi Prestasi
0 – 4 bulan;0;0 (kosong);0;0 (kosong);Pemula
0 – 4 bulan;0;0 (kosong);0;0 (kosong);Pemula
0 – 4 bulan;0;0 (kosong);0;0 (kosong);Pemula
4 bulan – 1 tahun;0;>1 menit;03-Apr;Memendek;Semi Prestasi
4 bulan – 1 tahun;0;>1 menit;0;Memendek;Semi Prestasi
> 1 tahun;0;>1 menit;03-Apr;Memendek;Semi Prestasi
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
